;Quais destas são características necessárias para ser um espaço vetorial?;ser fechado para soma de vetores e multiplicação por escalar,ter produto interno e externo definido,ser finito,possuir derivadas;0;
Qual é a definição de uma base de um espaço vetorial?;conjunto qualquer de vetores,conjunto linearmente dependente,conjunto gerador e linearmente independente,subespaço qualquer;2;
Vetores linearmente independentes satisfazem qual propriedade?;apenas a combinação linear trivial resulta no vetor nulo,determinante igual a zero,soma igual a zero,produto igual a zero;0;
A dimensão de um espaço vetorial é dada pelo?;número de vetores do espaço,número de vetores de uma base,soma dos vetores,grau do espaço;1;
Uma transformação linear preserva quais operações?;produto interno,soma de vetores e multiplicação por escalar,determinante,base ortonormal;1;
Uma transformação linear preserva quais operações?;produto interno,soma de vetores e multiplicação por escalar,determinante,base ortonormal;1 ;
O núcleo de uma transformação linear é?;a imagem da transformação,o conjunto de vetores levados ao vetor nulo,o espaço dual,a matriz da transformação;1 ;
A imagem de uma transformação linear é?;o domínio,o contradomínio,o conjunto de vetores obtidos pela transformação,o núcleo;2 ;
O teorema núcleo-imagem relaciona?;determinante e traço,dimensão do núcleo e da imagem,soma e produto,base e dimensão;1 ;
Determinante igual a zero implica que a matriz é?;invertível,singular,identidade,ortogonal;1 ;
Uma matriz invertível possui?;determinante nulo,inversa nula,inversa bem definida,autovalor zero;2 ;
Autovalor é?;um vetor associado à matriz,um escalar associado a um autovetor,uma matriz inversa,um produto interno;1;
Um autovetor satisfaz?;Av=0,Av=λv,A=v,λ=A;1;
Um espaço normado possui?;uma norma,produto interno,base ortonormal,dimensão finita;0;
Um espaço com produto interno define naturalmente?;uma norma,uma base,uma dimensão,um determinante;0;
Uma sequência convergente tende a?;um valor limite,infinito,um valor aleatório,zero sempre;0;
Uma série converge quando?;a soma diverge,o limite da sequência existe,a soma parcial tende a um valor finito,a sequência cresce indefinidamente;2;
O teste da razão é usado para analisar?;convergência de séries,derivadas,integrais,continuidade;0;
O teste da comparação utiliza?;limites laterais,funções deriváveis,integrais impróprias,desigualdades entre termos;3;
